"Country","ParticipantName","Address","City","BIC","Status","Role","Readiness Date","Scheme Leaving Date","Scheme Options"
"GERMANY","ING-DiBa AG","Theodor-Heuss-Allee 2","Frankfurt/Main","INGDDEFFXXX","Ready for operations","Requesting PSP;Responding PSP","2025-10-09","",""
"GERMANY","Commerzbank AG","Kaiserstrasse 16 (Kaiserplatz)","Frankfurt/Main","COBADEFFXXX","Ready for operations","Requesting PSP;Responding PSP","2025-10-09","",""
"GERMANY","DEUTSCHE BANK AG","Theodor-Heuss-Allee 70","FRANKFURT AM MAIN","DEUTDEFFXXX","Ready for operations","Requesting PSP;Responding PSP","2025-10-05","",""
